time,vol_sed
5,0.000573075171119
10,0.000916920273791
15,0.001375380410687
20,0.001260765376463
30,0.000974227790903
40,0.000744997722455
50,0.001318072893575
60,0.001318072893575
75,0.001107945330831
90,0.000840510250975
105,0.001031535308015
120,0.001031535308015
135,0.001184355353647
150,0.001146150342239
165,0.001146150342239
180,0.000840510250975
195,0.000725895216751
210,0.000840510250975
225,0.001184355353647
240,0.000955125285199
255,0.001069740319423
270,0.001184355353647
285,0.000725895216751
300,0.001069740319423
315,0.000955125285199
330,0.000955125285199
345,0.001069740319423
360,0.000840510250975
375,0.000840510250975
390,0.001184355353647
405,0.001222560365055
420,0.001107945330831
435,0.000840510250975
450,0.000649485193935
465,0.000687690205343
480,0.001107945330831
495,0.001222560365055
510,0.001184355353647
525,0.000993330296607
540,0.000802305239567
555,0.000649485193935
570,0.000955125285199
585,0.001298970387871
600,0.000916920273791
615,0.000993330296607
630,0.000573075171119
645,0.000229230068448
660,0.000878715262383
675,0.000725895216751
690,0.000993330296607
705,0.001260765376463
720,0.000916920273791
735,0.000573075171119
750,0.000802305239567
765,0.000573075171119
780,0.000802305239567
795,0.001107945330831
810,0.001146150342239
825,0.000916920273791
840,0.000687690205343
855,0.000802305239567
870,0.001184355353647
885,0.000993330296607
900,0.000916920273791
915,0.000840510250975
930,0.000534870159711
945,0.000764100228159
960,0.000725895216751
