"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"13",7.81839202016355e-07,3.80357290263607e-07,2.52927037780813e-07,4.3764025701784e-07,4.30804268046371e-07,3.24075891118619e-07,1.04754950181193e-07,7.08259499680878e-08,6.70448824258423e-08,7.87662213938487e-08,3.65641987095414e-08,4.14060250400608e-08,4.30697520109776e-08,2.7682337087414e-08,2.3562226337782e-08,4.30778039521058e-08,3.47368995021728e-08,2.44948624472177e-08,2.98133901943977e-08,3.51294782231314e-08,2.78920331040959e-08,3.99743019369634e-08,9.57906355083984e-08,1.01472924961268e-07,1.2999355592818e-07,4.59510960814713e-08,2.89666062349722e-08,3.02877833235305e-08,1.7782355432625e-08,2.12208772669594e-08,2.21381987243252e-08,2.57570242794968e-08
"14",7.8219296423637e-07,3.79417589934007e-07,2.53437795085688e-07,4.36479410906537e-07,4.29792799144653e-07,3.23746750006768e-07,1.04358782317839e-07,7.12075521288365e-08,6.62706155534095e-08,7.81919515845303e-08,3.52625715073036e-08,4.08038263448125e-08,4.23034076287804e-08,2.73195186883784e-08,2.28648427102255e-08,4.24956838422165e-08,3.41807936288782e-08,2.33715232995172e-08,2.89494312718155e-08,3.47276843521407e-08,2.72768448270685e-08,3.93733059708243e-08,9.50898937972678e-08,9.99511942903179e-08,1.29400407602565e-07,4.60437707439383e-08,2.83244479886628e-08,3.01137802301197e-08,1.73346691331191e-08,2.11239000940397e-08,2.14320348661532e-08,2.51315239122599e-08
"15",7.80001191335558e-07,3.94956937076599e-07,2.55069125546995e-07,4.55432710551158e-07,4.41362783748797e-07,3.27179544172501e-07,1.12000664579452e-07,7.5905811339712e-08,7.78680963043542e-08,9.08182445034583e-08,5.09231921116061e-08,5.04119724089468e-08,6.10429009057263e-08,4.39784854696149e-08,3.99535921132841e-08,5.69903832060005e-08,4.6425246403218e-08,4.14821792221322e-08,4.59047936987505e-08,4.41324009701713e-08,3.98224473570115e-08,5.08658306916629e-08,1.06246656812935e-07,1.13288569050971e-07,1.43164877397757e-07,5.85782091606624e-08,4.08877259736636e-08,3.86808856202908e-08,2.94380862809227e-08,2.46899874340778e-08,3.28661275692969e-08,3.68420041217594e-08
"16",7.84602350636644e-07,3.95915117478601e-07,2.58637650629675e-07,4.46325271006727e-07,4.43028173277146e-07,3.26030583355806e-07,1.10703971869004e-07,7.67598375148087e-08,7.30043905691517e-08,8.90024429477544e-08,4.90105824875446e-08,4.81785351575275e-08,5.13978924680964e-08,3.59589020029103e-08,2.98288574064356e-08,5.04884876690936e-08,4.05883966696043e-08,3.34680321546612e-08,3.86439789819043e-08,4.11115373366616e-08,3.55603122226998e-08,4.42760481728423e-08,1.04092899908708e-07,1.09095715568684e-07,1.3954434603374e-07,5.2733321584548e-08,3.51559292264676e-08,3.32873193614251e-08,2.30756383244573e-08,2.40594159883585e-08,2.94807107086488e-08,3.19012789077718e-08
"17",7.88226709317791e-07,3.94184317007243e-07,2.59960974233568e-07,4.41851912318227e-07,4.400778792155e-07,3.26496379174258e-07,1.09351649786178e-07,7.61203422889082e-08,7.15393974054468e-08,8.56905204951232e-08,4.46220769320398e-08,4.68458757094315e-08,4.81733034395003e-08,3.05076746492406e-08,2.50502702228412e-08,4.74038896460497e-08,3.70726790393148e-08,2.88606410540114e-08,3.46375104747608e-08,3.98328776963219e-08,3.28680197256553e-08,4.10322104397232e-08,1.01328721938315e-07,1.06397350955818e-07,1.35947563700615e-07,5.00573289388359e-08,3.3154691827888e-08,3.29484069782984e-08,2.07362629475055e-08,2.42623186127154e-08,2.79160583891459e-08,2.94435721520831e-08
"18",7.89230340981683e-07,3.97857184447327e-07,2.60376715076504e-07,4.39210622695519e-07,4.37685937531089e-07,3.28727313622747e-07,1.09181257685846e-07,7.80558343535543e-08,6.94266268013311e-08,8.30451489107013e-08,4.0717712698064e-08,4.58976547042023e-08,4.68157480639737e-08,2.83906766117104e-08,2.28094936022642e-08,4.6087503802181e-08,3.55429976554441e-08,2.64530253445585e-08,3.23593479429042e-08,3.91103014543942e-08,3.13296082111494e-08,3.92566352837255e-08,9.92554035378972e-08,1.04373540246903e-07,1.33886961568513e-07,4.95545413704588e-08,3.07028799729875e-08,3.27046983560934e-08,1.86774601458073e-08,2.38606153399399e-08,2.62724634505182e-08,2.76736227637301e-08
"19",7.89791651737177e-07,3.95672555666752e-07,2.61802984953893e-07,4.36556967130375e-07,4.35243345087488e-07,3.30044180079931e-07,1.08752812186614e-07,7.88707788618987e-08,6.76804075625652e-08,8.15716994064084e-08,3.75907879558336e-08,4.47851061628242e-08,4.5985074181997e-08,2.79431819134188e-08,2.20014527433341e-08,4.50957825406236e-08,3.47018303463876e-08,2.46130994572822e-08,3.09835442422389e-08,3.81060835557736e-08,2.96837948397788e-08,3.82719261896767e-08,9.73805883537009e-08,1.01874058973111e-07,1.3242101280925e-07,4.97269204173662e-08,2.89791965704165e-08,3.25001317389534e-08,1.77761327106453e-08,2.35839221354675e-08,2.46131822056223e-08,2.64613155333879e-08
"20",7.90234970872638e-07,3.93423113491034e-07,2.6291126180075e-07,4.34733953558147e-07,4.32764436271834e-07,3.31226206248646e-07,1.060253822319e-07,7.89867155027487e-08,6.61423020519444e-08,8.0006017425569e-08,3.50483639770644e-08,4.34043433609217e-08,4.49054233435795e-08,2.79419457169488e-08,2.17439741450938e-08,4.41462183524996e-08,3.37891938061854e-08,2.32945733525934e-08,3.00152469938796e-08,3.69578881186805e-08,2.86189246228704e-08,3.78972208012833e-08,9.596893805587e-08,1.00498785225258e-07,1.31621437530346e-07,5.07712406273104e-08,2.78914775009583e-08,3.22727437030514e-08,1.7229414541264e-08,2.32876024279759e-08,2.34775880808314e-08,2.56003314248203e-08
"21",7.84347542842461e-07,3.91949534436966e-07,2.63568345189557e-07,4.33707723178907e-07,4.30685600310477e-07,3.31870935783465e-07,1.04452199744342e-07,7.879821347838e-08,6.44998399765688e-08,7.88423168030719e-08,3.29286183081235e-08,4.18845848808903e-08,4.39595807787893e-08,2.8444941846019e-08,2.14833996370763e-08,4.2994511458316e-08,3.31573823418715e-08,2.19528918052424e-08,2.92014900492085e-08,3.58943965255804e-08,2.77791671296616e-08,3.73162355880477e-08,9.46456317684431e-08,9.91363950995825e-08,1.30560819489224e-07,5.19496532114576e-08,2.70622888499892e-08,3.21719940919788e-08,1.69013914103692e-08,2.29337528146768e-08,2.22407045346459e-08,2.46883519956505e-08
"22",7.79111635170149e-07,4.17318217101765e-07,2.71617614086206e-07,4.63438643968267e-07,4.58433429383011e-07,3.37932595315314e-07,1.3511278522202e-07,1.00913970155439e-07,9.32369103526788e-08,1.08038490526114e-07,7.38776542265529e-08,6.99225350039554e-08,7.59546960329071e-08,6.39819396811393e-08,5.46618443647321e-08,7.52482562795377e-08,6.16640800322717e-08,5.85139432736439e-08,6.2662681138391e-08,5.82466996873415e-08,6.07468375066775e-08,6.27992933265413e-08,1.24731308618635e-07,1.27189380841443e-07,1.59587497098233e-07,7.63961163212231e-08,5.6481052793863e-08,5.07323053106058e-08,4.66126670467928e-08,3.94470258194368e-08,4.99194290895113e-08,5.34036933955113e-08
"23",7.89581211887221e-07,4.20722937093584e-07,2.79285469773519e-07,4.49271217154311e-07,4.57024659516789e-07,3.35952626275202e-07,1.23321236617979e-07,9.77632727310852e-08,8.32902101984844e-08,1.02708454178014e-07,6.66661912813718e-08,6.18431199220216e-08,5.84129617028648e-08,4.59571442771416e-08,4.01563048452217e-08,5.96036292696982e-08,4.898831417517e-08,4.1413867747876e-08,4.82481558478099e-08,5.38611480176672e-08,5.02930170114299e-08,5.17213628960322e-08,1.16221253089292e-07,1.17288438450439e-07,1.50923565796005e-07,6.52240799603538e-08,4.45347370426882e-08,4.14067036882804e-08,3.57691895504001e-08,3.44780800897328e-08,4.22965701230013e-08,4.5205895726395e-08
